tf	target	weight
b1384	b2342	107.469
b1214	b1215	107.344
b3022	b2016	107.299
b1891	b1926	107.167
b2537	b0346	107.151
b1922	b4110	107.146
b1384	b0598	107.136
b1891	b1044	106.95
b3684	b3683	106.85
b2570	b2571	106.842
b3022	b3129	106.718
b2531	b2526	106.402
b1384	b1189	106.372
b4539	b1667	106.315
b3118	b3127	106.272
b1384	b4069	106.263
b1422	b2537	106.224
b0571	b0576	106.095
b3872	b3873	105.992
b2805	b1976	105.274
b0487	b0999	105.238
b2571	b2570	105.185
b2017	b2295	105.12
b3410	b3408	105.054
b2157	b2158	104.992
b2537	b1422	104.956
b1891	b3072	104.845
b1799	b2584	104.787
b0375	b0716	104.697
b1564	b2295	104.657
b0603	b0218	104.537
b2869	b2584	104.408
b3604	b3225	104.397
b3604	b3224	104.372
b3071	b4180	104.352
b2869	b2219	104.262
b2980	b4069	104.231
b2980	b4216	104.144
b2017	b4599	103.952
b4292	b2155	103.944
b2706	b4240	103.93
b4292	b2676	103.904
b3515	b3510	103.855
b2409	b4508	103.753
b2248	b2246	103.659
b1564	b0226	103.578
b1071	b1760	103.561
b3118	b3124	103.455
b4292	b0468	103.199
b1891	b3525	103.142
b1384	b2980	103.044
b0375	b0717	102.997
b4043	b4618	102.976
b2017	b2377	102.966
b2706	b3224	102.9
b1799	b4188	102.797
b1563	b2630	102.741
b1422	b1415	102.705
b2980	b0346	102.472
b2852	b3120	102.382
b1739	b3097	102.357
b1563	b3129	102.258
b2981	b3392	102.252
b2537	b2310	102.237
b3118	b3128	102.225
b3515	b3509	102.147
b2852	b4038	102.084
b2479	b2480	102.075
b3520	b3659	102.062
b2869	b1976	101.957
b1799	b2876	101.912
b3119	b3723	101.885
b2479	b2294	101.737
b2697	b2514	101.722
b2980	b1384	101.694
b2980	b3845	101.631
b3906	b3532	101.558
b2980	b3846	101.464
b4324	b3937	101.43
b1799	b0791	101.369
b0318	b0320	101.325
b1071	b1742	101.305
b2706	b3225	101.291
b3906	b3330	101.284
b3555	b1051	101.246
b0080	b1818	101.208
b2980	b2310	101.194
b2980	b2342	101.178
b1922	b1044	101.136
b2017	b0226	100.983
b3520	b4636	100.933
b0080	b1819	100.923
b3555	b2464	100.852
b3684	b4185	100.704
b1422	b2310	100.649
b0346	b1190	100.502
b2017	b2630	100.43
b3071	b2144	100.332
b3905	b3944	100.253
b0768	b0769	100.162
b2980	b1777	100.019
b4043	b0234	99.935
b3961	b2897	99.931
b4539	b2295	99.847
b2856	b4038	99.736
b3010	b3011	99.718
b2409	b4696	99.65
b1987	b1007	99.377
b3604	b3222	99.261
b1564	b3130	99.098
b1422	b1612	99.079
b4000	b0474	98.979
b1563	b2377	98.771
b1642	b0627	98.638
b0272	b0018	98.617
b2684	b2683	98.56
b4300	b4302	98.551
b3512	b4377	98.441
b3512	b3491	98.387
b2856	b2273	98.268
b4324	b2812	98.228
b0080	b1817	98.206
b1303	b1304	98.196
b2980	b2463	98.157
b1799	b1976	98.095
b0346	b1189	97.993
b0683	b1654	97.859
b0272	b0532	97.824
b0487	b1000	97.821
b0487	b4187	97.75
b3520	b4145	97.75
b1799	b2800	97.37
b2706	b3222	97.337
b3515	b4377	97.313
b2409	b0542	97.19
